development,origin,incurred,paid,lob
2000,2000,"325,423","101,125",PersonalAuto
2001,2001,323627,102541,PersonalAuto
2002,2002,358410,114932,PersonalAuto
2003,2003,405319,114452,PersonalAuto
2004,2004,434065,115597,PersonalAuto
2005,2005,417178,127760,PersonalAuto
2006,2006,398929,135616,PersonalAuto
2007,2007,378754,127177,PersonalAuto
2008,2008,351081,128631,PersonalAuto
2009,2009,329236,126288,PersonalAuto
2001,2000,336426,209921,PersonalAuto
2002,2001,339267,203213,PersonalAuto
2003,2002,386330,227704,PersonalAuto
2004,2003,396641,227761,PersonalAuto
2005,2004,429311,243611,PersonalAuto
2006,2005,422307,259416,PersonalAuto
2007,2006,398787,262294,PersonalAuto
2008,2007,361097,244249,PersonalAuto
2009,2008,335507,246803,PersonalAuto
2002,2000,346061,266618,PersonalAuto
2003,2001,344507,260677,PersonalAuto
2004,2002,385684,298120,PersonalAuto
2005,2003,391833,301072,PersonalAuto
2006,2004,422181,315215,PersonalAuto
2007,2005,413486,326975,PersonalAuto
2008,2006,398020,327086,PersonalAuto
2009,2007,369328,317972,PersonalAuto
2003,2000,347726,305107,PersonalAuto
2004,2001,349295,303182,PersonalAuto
2005,2002,384699,345542,PersonalAuto
2006,2003,384819,340669,PersonalAuto
2007,2004,409322,354490,PersonalAuto
2008,2005,406711,365780,PersonalAuto
2009,2006,400540,367357,PersonalAuto
2004,2000,350995,327850,PersonalAuto
2005,2001,351038,328932,PersonalAuto
2006,2002,387678,367760,PersonalAuto
2007,2003,380914,359979,PersonalAuto
2008,2004,394154,372376,PersonalAuto
2009,2005,406503,386725,PersonalAuto
2005,2000,353598,340669,PersonalAuto
2006,2001,351583,340948,PersonalAuto
2007,2002,387954,377999,PersonalAuto
2008,2003,380163,369248,PersonalAuto
2009,2004,392802,382738,PersonalAuto
2006,2000,354797,348430,PersonalAuto
2007,2001,352050,347333,PersonalAuto
2008,2002,388540,383611,PersonalAuto
2009,2003,379706,373325,PersonalAuto
2007,2000,355025,351193,PersonalAuto
2008,2001,352231,349813,PersonalAuto
2009,2002,389436,385224,PersonalAuto
2008,2000,354986,353353,PersonalAuto
2009,2001,352193,350523,PersonalAuto
2009,2000,355363,353584,PersonalAuto
2000,2000,"19,827","19,827",CommercialAuto
2001,2001,"22,331","22,331",CommercialAuto
2002,2002,"22,533","22,533",CommercialAuto
2003,2003,"23,128","23,128",CommercialAuto
2004,2004,"25,053","25,053",CommercialAuto
2005,2005,"30,136","30,136",CommercialAuto
2006,2006,"34,764","34,764",CommercialAuto
2007,2007,"31,803","31,803",CommercialAuto
2008,2008,"40,559","40,559",CommercialAuto
2009,2009,"46,285","46,285",CommercialAuto
2001,2000,"44,449","44,449",CommercialAuto
2002,2001,"48,480","48,480",CommercialAuto
2003,2002,"44,484","44,484",CommercialAuto
2004,2003,"51,328","51,328",CommercialAuto
2005,2004,"57,220","57,220",CommercialAuto
2006,2005,"64,767","64,767",CommercialAuto
2007,2006,"69,125","69,125",CommercialAuto
2008,2007,"63,471","63,471",CommercialAuto
2009,2008,"77,667","77,667",CommercialAuto
2002,2000,"61,205","61,205",CommercialAuto
2003,2001,"68,789","68,789",CommercialAuto
2004,2002,"65,691","65,691",CommercialAuto
2005,2003,"81,542","81,542",CommercialAuto
2006,2004,"84,607","84,607",CommercialAuto
2007,2005,"92,288","92,288",CommercialAuto
2008,2006,"91,354","91,354",CommercialAuto
2009,2007,"92,439","92,439",CommercialAuto
2003,2000,"77,398","77,398",CommercialAuto
2004,2001,"92,356","92,356",CommercialAuto
2005,2002,"88,435","88,435",CommercialAuto
2006,2003,"98,063","98,063",CommercialAuto
2007,2004,"104,936","104,936",CommercialAuto
2008,2005,"108,835","108,835",CommercialAuto
2009,2006,"111,987","111,987",CommercialAuto
2004,2000,"88,079","88,079",CommercialAuto
2005,2001,"104,958","104,958",CommercialAuto
2006,2002,"102,044","102,044",CommercialAuto
2007,2003,"113,149","113,149",CommercialAuto
2008,2004,"117,663","117,663",CommercialAuto
2009,2005,"121,326","121,326",CommercialAuto
2005,2000,"95,695","95,695",CommercialAuto
2006,2001,"112,399","112,399",CommercialAuto
2007,2002,"112,672","112,672",CommercialAuto
2008,2003,"121,515","121,515",CommercialAuto
2009,2004,"126,180","126,180",CommercialAuto
2006,2000,"99,853","99,853",CommercialAuto
2007,2001,"115,638","115,638",CommercialAuto
2008,2002,"115,973","115,973",CommercialAuto
2009,2003,"124,347","124,347",CommercialAuto
2007,2000,"104,789","104,789",CommercialAuto
2008,2001,"117,415","117,415",CommercialAuto
2009,2002,"118,359","118,359",CommercialAuto
2008,2000,"105,427","105,427",CommercialAuto
2009,2001,"118,571","118,571",CommercialAuto
2009,2000,"106,690","106,690",CommercialAuto
