num_poliza,nombre_producto,riesgo,sexo,moneda,fecha nacimiento,fecha inicio,fecha fin,gastos_adm,monto prima,suma_asegurada
c-02010007310620033093,producto02,Vida grupo particular,F,PEN,1951-03-03,2021-06-30,2025-07-04,0.1,60.0,1200.0
c-02010012739870033085,producto02,Vida grupo particular,F,PEN,1965-07-10,2021-06-28,2025-07-02,0.1,87.0,1185.0
c-02010018338770033089,producto02,Vida grupo particular,F,PEN,1949-01-25,2021-06-30,2025-07-04,0.1,32.0,1000.0
c-02010022357720033089,producto02,Vida grupo particular,M,PEN,1952-03-16,2021-06-30,2027-07-05,0.1,101.0,1500.0
c-02010044258230033081,producto02,Vida grupo particular,F,PEN,1953-06-06,2021-06-28,2025-07-02,0.1,15.0,1300.0
c-02010060125410033087,producto02,Vida grupo particular,F,PEN,1969-08-19,2021-06-30,2025-07-05,0.1,204.0,3640.0
c-02010067705750033087,producto02,Vida grupo particular,F,PEN,1974-06-09,2021-06-30,2026-07-17,0.1,30.0,500.0
c-02010071369110033083,producto02,Vida grupo particular,F,PEN,1957-06-29,2021-06-28,2025-07-02,0.1,181.0,2035.0
c-02010071798140033094,producto02,Vida grupo particular,F,PEN,1950-07-26,2021-06-30,2026-04-04,0.1,110.0,1780.0
c-02010074668420033081,producto02,Vida grupo particular,F,PEN,1960-09-12,2021-06-28,2025-07-02,0.1,107.0,1850.0
c-02010074934730033082,producto02,Vida grupo particular,F,PEN,1966-05-23,2021-06-28,2025-07-02,0.1,80.0,1200.0
c-02010081529120033091,producto02,Vida grupo particular,F,PEN,1940-12-18,2021-06-30,2025-07-24,0.1,108.0,2025.0
c-02010086061340033094,producto02,Vida grupo particular,F,PEN,1956-10-31,2021-06-30,2025-07-04,0.1,311.0,3640.0
c-02010086593510033094,producto02,Vida grupo particular,F,PEN,1942-12-11,2021-06-30,2026-07-04,0.1,4.0,1000.0
c-02010088949440033083,producto02,Vida grupo particular,F,PEN,1978-11-27,2021-06-28,2026-02-02,0.1,130.0,1685.0
c-02010095216500033091,producto02,Vida grupo particular,F,PEN,1946-06-01,2021-06-30,2027-07-05,0.1,1.0,1300.0
c-02010115048180033083,producto02,Vida grupo particular,F,PEN,1967-08-11,2021-06-28,2027-07-26,0.1,174.0,3000.0
c-02010117125110033081,producto02,Vida grupo particular,M,PEN,1970-09-13,2021-06-28,2025-07-03,0.1,45.0,1000.0
c-02010121187530033089,producto02,Vida grupo particular,M,PEN,1967-06-23,2021-06-30,2026-07-04,0.1,161.0,2385.0
c-02010153276760033084,producto02,Vida grupo particular,M,PEN,1983-11-22,2021-06-28,2027-07-02,0.1,59.0,1350.0
c-02010153603010033093,producto02,Vida grupo particular,M,PEN,1960-06-25,2021-06-30,2027-07-05,0.1,79.0,1150.0
c-02010156926620033094,producto02,Vida grupo particular,M,PEN,1951-04-18,2021-06-30,2025-01-09,0.1,43.0,1080.0
c-02010158747050033089,producto02,Vida grupo particular,M,PEN,1972-10-09,2021-06-30,2026-07-10,0.1,29.0,400.0
c-02010162789940033080,producto02,Vida grupo particular,M,PEN,1979-03-17,2021-06-28,2027-07-26,0.1,25.0,1505.0
c-02010165035350033092,producto02,Vida grupo particular,M,PEN,1948-10-11,2021-06-30,2025-07-04,0.1,134.0,1500.1
c-02010166500550033093,producto02,Vida grupo particular,M,PEN,1967-07-01,2021-06-30,2025-07-04,0.1,74.0,1900.0
c-02010179713450033086,producto02,Vida grupo particular,F,PEN,1949-11-09,2021-06-28,2027-07-10,0.1,61.0,800.0
c-02010183129850033091,producto02,Vida grupo particular,F,PEN,1982-01-04,2021-06-30,2026-07-04,0.1,24.0,3000.0
c-02010188017120033090,producto02,Vida grupo particular,F,PEN,1969-10-04,2021-06-30,2025-07-04,0.1,46.0,1200.0
c-02010195451300033093,producto02,Vida grupo particular,F,PEN,1908-12-17,2021-06-30,2027-07-05,0.1,118.0,1900.0
c-02010198799930033082,producto02,Vida grupo particular,F,PEN,1958-09-26,2021-06-28,2027-07-02,0.1,51.0,1850.0
c-02010199677810033083,producto02,Vida grupo particular,F,PEN,1943-04-05,2021-06-28,2025-07-12,0.1,27.0,2950.0
