LOB,AccidentYear,DevelopmentYear,Paid,Incurred
MedMal,1969,1969,125000,2897000
Auto,1969,1969,1904,2897000
MedMal,1969,1970,406000,5160000
Auto,1969,1970,5398,5160000
MedMal,1970,1970,43000,4828000
Auto,1970,1970,2235,4828000
MedMal,1969,1971,1443000,10714000
Auto,1969,1971,7496,10714000
MedMal,1970,1971,529000,10707000
Auto,1970,1971,6261,10707000
MedMal,1971,1971,295000,5455000
Auto,1971,1971,2441,5455000
MedMal,1969,1972,2986000,15228000
Auto,1969,1972,8882,15228000
MedMal,1970,1972,2016000,16907000
Auto,1970,1972,8691,16907000
MedMal,1971,1972,1147000,11941000
Auto,1971,1972,7348,11941000
MedMal,1972,1972,50000,8732000
Auto,1972,1972,2503,8732000
MedMal,1969,1973,4467000,16611000
Auto,1969,1973,9712,16611000
MedMal,1970,1973,3641000,22840000
Auto,1970,1973,10443,22840000
MedMal,1971,1973,2479000,20733000
Auto,1971,1973,10662,20733000
MedMal,1972,1973,786000,18633000
Auto,1972,1973,8173,18633000
MedMal,1973,1973,213000,11228000
Auto,1973,1973,2838,11228000
MedMal,1969,1974,8179000,20899000
Auto,1969,1974,10071,20899000
MedMal,1970,1974,7523000,26211000
Auto,1970,1974,11346,26211000
MedMal,1971,1974,5071000,30928000
Auto,1971,1974,12655,30928000
MedMal,1972,1974,3810000,32143000
Auto,1972,1974,11810,32143000
MedMal,1973,1974,833000,19967000
Auto,1973,1974,8712,19967000
MedMal,1974,1974,172000,8706000
Auto,1974,1974,2405,8706000
MedMal,1969,1975,12638000,22892000
Auto,1969,1975,10199,22892000
MedMal,1970,1975,14295000,31970000
Auto,1970,1975,11754,31970000
MedMal,1971,1975,11399000,42395000
Auto,1971,1975,13748,42395000
MedMal,1972,1975,9771000,57196000
Auto,1972,1975,14176,57196000
MedMal,1973,1975,3599000,50143000
Auto,1973,1975,12728,50143000
MedMal,1974,1975,1587000,33459000
Auto,1974,1975,7858,33459000
MedMal,1975,1975,210000,12928000
Auto,1975,1975,2759,12928000
MedMal,1969,1976,15815000,23506000
Auto,1969,1976,10256,23506000
MedMal,1970,1976,18983000,32216000
Auto,1970,1976,12031,32216000
MedMal,1971,1976,17707000,48377000
Auto,1971,1976,14235,48377000
MedMal,1972,1976,18518000,61163000
Auto,1972,1976,15383,61163000
MedMal,1973,1976,11292000,73733000
Auto,1973,1976,15278,73733000
MedMal,1974,1976,6267000,63477000
Auto,1974,1976,11771,63477000
MedMal,1975,1976,1565000,48904000
Auto,1975,1976,9182,48904000
MedMal,1976,1976,209000,15791000
Auto,1976,1976,2801,15791000
