ClaimNo,AccidentDate,ReportDate,Line,Type,ClaimLiability,Limit,Deductible,TotalPayment,PaymentDate,CloseDate,Status,reportedCount,closedPaidCount,closedUnPaidCount,openCount,Paid,Outstanding,Incurred
1,2008-01-22,4/19/2010,Home,Dwelling,False,300000.0,20000,0.0,2010-10-08,10/8/2010,CLOSED,1,0,1,0,0.0,0,0.0
2,2008-01-02,4/20/2010,Home,Dwelling,False,200000.0,20000,0.0,2010-11-30,11/30/2010,CLOSED,1,0,1,0,0.0,0,0.0
3,2008-01-01,9/23/2009,Home,Dwelling,True,200000.0,20000,115744.7737,2010-02-17,2/17/2010,CLOSED,1,1,0,0,115744.7737,0,115744.7737
4,2008-01-02,7/25/2009,Home,Dwelling,True,200000.0,20000,63678.87712999999,2009-11-18,11/18/2009,CLOSED,1,1,0,0,63678.87712999999,0,63678.87712999999
5,2008-01-16,12/7/2009,Home,Dwelling,True,200000.0,20000,112175.5559,2010-04-30,4/30/2010,CLOSED,1,1,0,0,112175.5559,0,112175.5559
6,2008-01-07,4/28/2010,Home,Dwelling,True,200000.0,20000,65005.3018,2010-08-08,8/8/2010,CLOSED,1,1,0,0,65005.3018,0,65005.3018
7,2008-01-16,3/25/2010,Home,Dwelling,True,300000.0,20000,280000.0,2010-11-20,11/20/2010,CLOSED,1,1,0,0,280000.0,0,280000.0
8,2008-01-04,5/2/2009,Home,Dwelling,True,200000.0,20000,180000.0,2009-11-10,11/10/2009,CLOSED,1,1,0,0,180000.0,0,180000.0
9,2008-01-26,1/27/2010,Home,Dwelling,False,200000.0,20000,0.0,2010-05-28,5/28/2010,CLOSED,1,0,1,0,0.0,0,0.0
10,2008-01-18,4/24/2010,Home,Dwelling,True,300000.0,20000,280000.0,2010-12-03,12/3/2010,CLOSED,1,1,0,0,280000.0,0,280000.0
11,2008-01-10,11/7/2009,Home,Dwelling,True,300000.0,20000,179806.7431,2010-04-27,4/27/2010,CLOSED,1,1,0,0,179806.7431,0,179806.7431
12,2008-01-29,8/18/2010,Home,Dwelling,False,300000.0,20000,0.0,2011-01-01,1/1/2011,CLOSED,1,0,1,0,0.0,0,0.0
13,2008-01-02,7/27/2010,Home,Dwelling,True,300000.0,20000,280000.0,2011-02-14,2/14/2011,CLOSED,1,1,0,0,280000.0,0,280000.0
14,2008-01-29,1/11/2010,Home,Dwelling,True,300000.0,20000,280000.0,2010-07-24,7/24/2010,CLOSED,1,1,0,0,280000.0,0,280000.0
15,2008-01-13,11/27/2009,Home,Dwelling,True,300000.0,20000,230201.4071,2010-05-28,5/28/2010,CLOSED,1,1,0,0,230201.4071,0,230201.4071
16,2008-01-14,7/16/2009,Home,Dwelling,False,200000.0,20000,0.0,2009-10-19,10/19/2009,CLOSED,1,0,1,0,0.0,0,0.0
17,2008-01-30,8/25/2010,Home,Dwelling,False,300000.0,20000,0.0,2011-01-20,1/20/2011,CLOSED,1,0,1,0,0.0,0,0.0
18,2008-01-10,7/2/2010,Home,Dwelling,True,300000.0,20000,280000.0,2011-01-13,1/13/2011,CLOSED,1,1,0,0,280000.0,0,280000.0
19,2008-01-24,4/7/2010,Home,Dwelling,False,300000.0,20000,0.0,2010-08-23,8/23/2010,CLOSED,1,0,1,0,0.0,0,0.0
20,2008-01-27,4/24/2010,Home,Dwelling,True,200000.0,20000,180000.0,2010-10-30,10/30/2010,CLOSED,1,1,0,0,180000.0,0,180000.0
21,2008-01-07,3/31/2010,Home,Dwelling,True,300000.0,20000,223994.0036,2010-10-04,10/4/2010,CLOSED,1,1,0,0,223994.0036,0,223994.0036
22,2008-01-05,2/10/2010,Home,Dwelling,True,300000.0,20000,143433.7753,2010-07-24,7/24/2010,CLOSED,1,1,0,0,143433.7753,0,143433.7753
23,2008-01-07,5/9/2010,Home,Dwelling,False,200000.0,20000,0.0,2010-12-01,12/1/2010,CLOSED,1,0,1,0,0.0,0,0.0
24,2008-01-07,3/11/2010,Home,Dwelling,False,200000.0,20000,0.0,2010-07-19,7/19/2010,CLOSED,1,0,1,0,0.0,0,0.0
25,2008-01-10,2/14/2010,Home,Dwelling,True,300000.0,20000,35045.552260000004,2010-05-16,5/16/2010,CLOSED,1,1,0,0,35045.552260000004,0,35045.552260000004
26,2008-01-12,6/4/2010,Home,Dwelling,True,300000.0,20000,187166.576,2010-11-24,11/24/2010,CLOSED,1,1,0,0,187166.576,0,187166.576
27,2008-01-21,2/16/2010,Home,Dwelling,True,200000.0,20000,180000.0,2010-08-20,8/20/2010,CLOSED,1,1,0,0,180000.0,0,180000.0
28,2008-01-06,3/21/2010,Home,Dwelling,True,300000.0,20000,189644.8275,2010-09-12,9/12/2010,CLOSED,1,1,0,0,189644.8275,0,189644.8275
29,2008-01-20,10/27/2009,Home,Dwelling,True,200000.0,20000,106460.3973,2010-03-16,3/16/2010,CLOSED,1,1,0,0,106460.3973,0,106460.3973
30,2008-01-30,6/24/2010,Home,Dwelling,False,300000.0,20000,0.0,2010-11-27,11/27/2010,CLOSED,1,0,1,0,0.0,0,0.0
31,2008-01-14,12/28/2009,Home,Dwelling,True,300000.0,20000,280000.0,2010-07-12,7/12/2010,CLOSED,1,1,0,0,280000.0,0,280000.0
32,2008-01-30,5/4/2010,Home,Dwelling,True,200000.0,20000,180000.0,2010-10-30,10/30/2010,CLOSED,1,1,0,0,180000.0,0,180000.0
33,2008-01-30,2/11/2010,Home,Dwelling,True,300000.0,20000,85555.8036,2010-06-12,6/12/2010,CLOSED,1,1,0,0,85555.8036,0,85555.8036
34,2008-01-16,2/26/2010,Home,Dwelling,True,200000.0,20000,165255.686,2010-08-15,8/15/2010,CLOSED,1,1,0,0,165255.686,0,165255.686
35,2008-01-27,4/4/2010,Home,Dwelling,True,200000.0,20000,180000.0,2010-10-19,10/19/2010,CLOSED,1,1,0,0,180000.0,0,180000.0
36,2008-01-29,9/3/2009,Home,Dwelling,False,300000.0,20000,0.0,2010-03-13,3/13/2010,CLOSED,1,0,1,0,0.0,0,0.0
37,2008-01-11,3/23/2010,Home,Dwelling,True,300000.0,20000,88205.77029,2010-08-01,8/1/2010,CLOSED,1,1,0,0,88205.77029,0,88205.77029
38,2008-01-09,11/6/2009,Home,Dwelling,True,300000.0,20000,192546.9892,2010-04-22,4/22/2010,CLOSED,1,1,0,0,192546.9892,0,192546.9892
39,2008-01-03,4/22/2010,Home,Dwelling,True,300000.0,20000,274536.3059,2010-10-24,10/24/2010,CLOSED,1,1,0,0,274536.3059,0,274536.3059
40,2008-01-13,7/15/2010,Home,Dwelling,False,300000.0,20000,0.0,2011-01-09,1/9/2011,CLOSED,1,0,1,0,0.0,0,0.0
41,2008-01-04,3/29/2010,Home,Dwelling,True,300000.0,20000,245133.1382,2010-10-01,10/1/2010,CLOSED,1,1,0,0,245133.1382,0,245133.1382
42,2008-01-08,4/8/2010,Home,Dwelling,True,300000.0,20000,280000.0,2010-10-14,10/14/2010,CLOSED,1,1,0,0,280000.0,0,280000.0
43,2008-01-29,2/28/2010,Home,Dwelling,True,200000.0,20000,99502.98991,2010-07-23,7/23/2010,CLOSED,1,1,0,0,99502.98991,0,99502.98991
44,2008-01-20,3/25/2010,Home,Dwelling,True,300000.0,20000,280000.0,2010-10-07,10/7/2010,CLOSED,1,1,0,0,280000.0,0,280000.0
